Scenario,Version,Game,Measure,value
balanced,Working,2022-04-10_Cleveland_Guardians_at_Kansas_City_Royals,Elevation_Ft,856.0
balanced,Working,2022-04-10_Seattle_Mariners_at_Minnesota_Twins,Total_Score,14
balanced,Working,2022-04-10_Seattle_Mariners_at_Minnesota_Twins,Weather_Temp,53
balanced,Working,2022-04-10_Seattle_Mariners_at_Minnesota_Twins,Wind_MPH,16.0
balanced,Working,2022-04-10_Seattle_Mariners_at_Minnesota_Twins,Is_Day_Game,1.0
balanced,Working,2022-04-10_Seattle_Mariners_at_Minnesota_Twins,Is_Dome,0.0
balanced,Working,2022-04-10_Seattle_Mariners_at_Minnesota_Twins,Elevation_Ft,828.0
balanced,Working,2022-04-10_Pittsburgh_Pirates_at_St._Louis_Cardinals,Total_Score,13
balanced,Working,2022-04-10_Pittsburgh_Pirates_at_St._Louis_Cardinals,Weather_Temp,70
balanced,Working,2022-04-10_Pittsburgh_Pirates_at_St._Louis_Cardinals,Wind_MPH,16.0
balanced,Working,2022-04-10_Pittsburgh_Pirates_at_St._Louis_Cardinals,Is_Day_Game,1.0
balanced,Working,2022-04-10_Pittsburgh_Pirates_at_St._Louis_Cardinals,Is_Dome,0.0
balanced,Working,2022-04-10_Pittsburgh_Pirates_at_St._Louis_Cardinals,Elevation_Ft,460.0
balanced,Working,2022-04-10_Milwaukee_Brewers_at_Chicago_Cubs,Total_Score,9
balanced,Working,2022-04-10_Milwaukee_Brewers_at_Chicago_Cubs,Weather_Temp,54
balanced,Working,2022-04-10_Milwaukee_Brewers_at_Chicago_Cubs,Wind_MPH,13.0
balanced,Working,2022-04-10_Milwaukee_Brewers_at_Chicago_Cubs,Is_Day_Game,1.0
balanced,Working,2022-04-10_Milwaukee_Brewers_at_Chicago_Cubs,Is_Dome,0.0
balanced,Working,2022-04-10_Milwaukee_Brewers_at_Chicago_Cubs,Elevation_Ft,595.0
balanced,Working,2022-04-10_Los_Angeles_Dodgers_at_Colorado_Rockies,Total_Score,13
balanced,Working,2022-04-10_Los_Angeles_Dodgers_at_Colorado_Rockies,Weather_Temp,55
balanced,Working,2022-04-10_Los_Angeles_Dodgers_at_Colorado_Rockies,Wind_MPH,17.0
balanced,Working,2022-04-10_Los_Angeles_Dodgers_at_Colorado_Rockies,Is_Day_Game,1.0
balanced,Working,2022-04-10_Los_Angeles_Dodgers_at_Colorado_Rockies,Is_Dome,0.0
balanced,Working,2022-04-10_Los_Angeles_Dodgers_at_Colorado_Rockies,Elevation_Ft,5190.0
balanced,Working,2022-04-10_Miami_Marlins_at_San_Francisco_Giants,Total_Score,5
balanced,Working,2022-04-10_Miami_Marlins_at_San_Francisco_Giants,Weather_Temp,61
balanced,Working,2022-04-10_Miami_Marlins_at_San_Francisco_Giants,Wind_MPH,16.0
balanced,Working,2022-04-10_Miami_Marlins_at_San_Francisco_Giants,Is_Day_Game,1.0
balanced,Working,2022-04-10_Miami_Marlins_at_San_Francisco_Giants,Is_Dome,0.0
balanced,Working,2022-04-10_Miami_Marlins_at_San_Francisco_Giants,Elevation_Ft,0.0
balanced,Working,2022-04-10_Houston_Astros_at_Los_Angeles_Angels,Total_Score,5
balanced,Working,2022-04-10_Houston_Astros_at_Los_Angeles_Angels,Weather_Temp,70
balanced,Working,2022-04-10_Houston_Astros_at_Los_Angeles_Angels,Wind_MPH,7.0
balanced,Working,2022-04-10_Houston_Astros_at_Los_Angeles_Angels,Is_Day_Game,1.0
balanced,Working,2022-04-10_Houston_Astros_at_Los_Angeles_Angels,Is_Dome,0.0
balanced,Working,2022-04-10_Houston_Astros_at_Los_Angeles_Angels,Elevation_Ft,151.0
balanced,Working,2022-04-10_San_Diego_Padres_at_Arizona_Diamondbacks,Total_Score,15
